d,cognome,nome,legislatura,gruppoParlamentare
http://dati.camera.it/ocd/deputato.rdf/d16850_13,TASSONE,MARIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_13,VICEPRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d16850_14,TASSONE,MARIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d16850_14,TASSONE,MARIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14,DELEGATO D'AULA
http://dati.camera.it/ocd/deputato.rdf/d16850_16,TASSONE,MARIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d16850_16,TASSONE,MARIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,DELEGATO D'AULA
http://dati.camera.it/ocd/deputato.rdf/d16850_16,TASSONE,MARIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,VICEPRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d17040_10,ZANIBONI,ANTONINO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,VICEPRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d17060_11,ZARRO,GIOVANNI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d17180_2,BUTTE',ALESSANDRO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d17180_3,BUTTE',ALESSANDRO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d17230_0,CAMANGI,LUDOVICO,http://dati.camera.it/ocd/legislatura.rdf/costituente,SEGRETARIO
http://dati.camera.it/ocd/deputato.rdf/d1750_1,CODACCI PISANELLI,GIUSEPPE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d1750_2,CODACCI PISANELLI,GIUSEPPE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d1750_2,CODACCI PISANELLI,GIUSEPPE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,VICEPRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d1750_3,CODACCI PISANELLI,GIUSEPPE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,VICEPRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d17680_3,ADAMOLI,GELASIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d17690_2,AGRIMI,ALESSANDRO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d17750_0,ANGELINI,ARMANDO,http://dati.camera.it/ocd/legislatura.rdf/costituente,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d17780_1,ARIOSTO,EGIDIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,SEGRETARIO
http://dati.camera.it/ocd/deputato.rdf/d17780_2,ARIOSTO,EGIDIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,SEGRETARIO
http://dati.camera.it/ocd/deputato.rdf/d17780_3,ARIOSTO,EGIDIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d17850_2,BASSO,LELIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d17850_3,BASSO,LELIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d17860_3,BELOTTI,GIUSEPPE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,MEMBRO DEL C.D.
